id	gene_short_name	num_cells_expressed
LOC105318172	beta-mannosidase	26
LOC105318174	protein cereblon homolog	1858
LOC105318175	zinc finger protein 704	4667
LOC105318177	uncharacterized LOC105318177	2615
LOC105324046	uncharacterized LOC105324046_ncRNA	0
LOC117684712	uncharacterized LOC117684712	1
LOC117684723	uncharacterized LOC117684723_ncRNA	1
LOC117680420	uncharacterized LOC117680420	0
LOC105318178	uncharacterized LOC105318178	0
LOC105318179	uncharacterized LOC105318179	14
LOC117684724	uncharacterized LOC117684724_ncRNA	1
LOC117684720	uncharacterized LOC117684720	0
LOC117684719	uncharacterized LOC117684719	1
LOC117684715	uncharacterized LOC117684715	15
LOC117684721	uncharacterized LOC117684721	40
LOC109619554	uncharacterized LOC109619554	6
LOC105329536	serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A	2761
LOC105329535	patched domain-containing protein 3	9238
LOC105329534	uncharacterized LOC105329534	1787
LOC117684746	protein argonaute-2-like	9622
LOC105329532	protein argonaute-2	6297
LOC105329531	cholecystokinin receptor type A-like	707
LOC105329529	uncharacterized LOC105329529	0
LOC105327371	hypothetical protein	4
LOC105327353	natterin-4	3
LOC105324352	uncharacterized LOC105324352	7
LOC105327356	UDP-D-xylose:L-fucose alpha-1,3-D-xylosyltransferase-like	0
LOC109618651	uncharacterized LOC109618651_ncRNA	29
LOC117680533	UDP-D-xylose:L-fucose alpha-1,3-D-xylosyltransferase-like	1
LOC117692528	uncharacterized LOC117692528_ncRNA	526
LOC117680523	UDP-D-xylose:L-fucose alpha-1,3-D-xylosyltransferase-like	0
LOC105327355	methionine--tRNA ligase, cytoplasmic	3507
LOC105327359	uncharacterized LOC105327359	32
LOC105327358	cubilin	180
LOC105327360	uncharacterized LOC105327360	1348
LOC105327361	protein arginine N-methyltransferase 1	14662
LOC105327363	uncharacterized LOC105327363	187
LOC105321409	SCO-spondin	10
LOC117692559	uncharacterized LOC117692559	0
LOC105345083	tenascin	0
LOC105345084	beta-1,3-galactosyltransferase 1	178
LOC105347024	uncharacterized LOC105347024	108
LOC117681699	uncharacterized LOC117681699	6
LOC105327365	forkhead box protein N4	8635
LOC105319881	nostrin	540
LOC117681707	uncharacterized LOC117681707_ncRNA	35
LOC105319882	uncharacterized LOC105319882	3343
LOC105319883	diablo homolog, mitochondrial	484
LOC105319884	transmembrane emp24 domain-containing protein 1-like	2275
LOC109617580	uncharacterized LOC109617580_ncRNA	5
LOC105319885	tolloid-like protein 1	110
LOC117681709	uncharacterized LOC117681709	7
LOC117681711	uncharacterized LOC117681711	69
LOC105319886	VWFA and cache domain-containing protein 1	8
LOC105319888	uncharacterized LOC105319888_ncRNA	0
LOC105319890	uncharacterized LOC105319890_ncRNA	2
LOC117690023	uncharacterized LOC117690023_ncRNA	0
LOC105342315	uncharacterized LOC105342315	85
LOC109618002	neuronal acetylcholine receptor subunit alpha-3-like	0
LOC117687129	neuronal acetylcholine receptor subunit alpha-2-like	0
LOC105336600	uncharacterized LOC105336600_ncRNA	0
LOC105335912	VWFA and cache domain-containing protein 1	1
LOC105336594	VWFA and cache domain-containing protein 1	0
LOC117684936	VWFA and cache domain-containing protein 1-like	1
LOC105335931	VWFA and cache domain-containing protein 1	66
LOC105335914	VWFA and cache domain-containing protein 1	197
LOC105337473	VWFA and cache domain-containing protein 1-like	0
LOC117687134	uncharacterized LOC117687134	0
LOC105348645	uncharacterized LOC105348645_ncRNA	8
LOC117683566	VWFA and cache domain-containing protein 1-like	2
LOC117683687	zinc finger protein 768-like	443
LOC117680453	uncharacterized LOC117680453	1
LOC117683639	uncharacterized LOC117683639	4
LOC117683649	uncharacterized LOC117683649	5
LOC105337358	hypothetical protein	494
LOC117683688	uncharacterized LOC117683688	636
LOC117683616	uncharacterized LOC117683616	2
LOC105337393	uncharacterized LOC105337393	5
LOC109619877	uncharacterized LOC109619877	27
LOC117683699	F-box only protein 9-like	653
LOC117683701	uncharacterized LOC117683701	2
LOC117683678	uncharacterized LOC117683678	40
LOC105337365	zinc finger protein 33A	2647
LOC105327168	VWFA and cache domain-containing protein 1	2
LOC117687137	mucin-6-like	0
LOC105327195	zinc finger protein 768	509
LOC117683731	uncharacterized LOC117683731_ncRNA	1
LOC105326744	uncharacterized LOC105326744	3
LOC105326746	uncharacterized LOC105326746	0
LOC117680455	uncharacterized LOC117680455	100
LOC105337361	uncharacterized LOC105337361	2006
LOC105337360	tripartite motif-containing protein 45	163
LOC117683736	uncharacterized LOC117683736_ncRNA	4
LOC117683607	uncharacterized LOC117683607	3
LOC117683745	uncharacterized LOC117683745_ncRNA	0
LOC117683600	uncharacterized LOC117683600	28
LOC117683719	uncharacterized LOC117683719	6
LOC105337362	F-box only protein 9	334
LOC105337363	uncharacterized LOC105337363	0
LOC117683663	uncharacterized LOC117683663	27
LOC117680428	zinc finger protein 33A-like	4697
LOC105337368	ubiquitin carboxyl-terminal hydrolase MINDY-2	3627
LOC105337367	uncharacterized LOC105337367	330
LOC105337369	recombining binding protein suppressor of hairless	3513
LOC109618958	uncharacterized LOC109618958	0
LOC105342725	uncharacterized LOC105342725	403
LOC105337370	RING-H2 finger protein ATL34	66
LOC105337371	double-strand-break repair protein rad21 homolog	16188
LOC105337373	phospholipase ABHD3	479
LOC105337374	Uncharacterized protein C2orf50	5841
LOC105337394	acetylcholine receptor subunit alpha	245
LOC105337375	tachykinin-like peptides receptor 99D	3780
LOC105337376	probable protein S-acyltransferase 6	1013
LOC105337377	probable protein S-acyltransferase 14	4107
LOC105337379	glutamate--cysteine ligase catalytic subunit	4635
LOC105324274	myb-like protein X	869
LOC105331846	protein draper	1223
LOC105331845	NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial	5918
LOC105331844	uncharacterized LOC105331844	1138
LOC105323503	uncharacterized LOC105323503	12597
LOC105331842	tyrosine-protein kinase BAZ1B	13260
LOC105331841	flap endonuclease GEN homolog 1	1079
LOC109619196	complement C1q-like protein 4	11
LOC105331840	uncharacterized LOC105331840	115
LOC109619190	uncharacterized LOC109619190	0
LOC105331839	DNA damage-regulated autophagy modulator protein 2	29
LOC105331837	peroxidase-like protein	33
LOC105331854	peroxidase-like protein	98
LOC117687154	peroxidase-like protein	19
LOC105341168	peroxidase-like protein	6
LOC117687155	uncharacterized LOC117687155	0
LOC117682707	peroxidase-like protein	5
LOC105338364	calmodulin-1	132
LOC105338363	calmodulin	8
LOC105338361	calmodulin	60
LOC105338360	calmodulin	6029
LOC105338369	calmodulin-like	130
LOC105338359	ELKS/Rab6-interacting/CAST family member 1	2671
LOC105338358	vacuolar protein sorting-associated protein 11 homolog	3646
LOC105338357	potassium voltage-gated channel protein Shaw	791
LOC105338356	neo-calmodulin	735
LOC105338354	low-density lipoprotein receptor-related protein 6	374
LOC105338355	low-density lipoprotein receptor-related protein 5	57
LOC105338353	DAZ-associated protein 2	11094
LOC117682784	uncharacterized LOC117682784_ncRNA	31
LOC105326415	rho-related protein racA	1675
LOC105326414	DBH-like monooxygenase protein 1 homolog	392
LOC105326417	protein gustavus	312
LOC105326416	rho-related protein racA	172
LOC109617077	rho-related protein racA	398
LOC105326418	60S ribosomal protein L23	14082
LOC117687163	rho-related protein racA-like	1
LOC117682815	60S ribosomal protein L23	9538
LOC105326419	LIM and SH3 domain protein 1	10316
LOC105326420	uncharacterized LOC105326420	51
LOC105326424	interferon-induced protein 44-like	32
LOC105326423	interferon-induced protein 44-like	120
LOC105326425	uncharacterized LOC105326425	5
LOC105326426	X-ray repair cross-complementing protein 5	3262
LOC117682867	uncharacterized LOC117682867_ncRNA	4
LOC105326427	double-stranded RNA-specific editase 1	3203
LOC105326456	uncharacterized LOC105326456	2635
LOC105326429	oxysterol-binding protein-related protein 11	2341
LOC105326430	uncharacterized LOC105326430	1224
LOC105326431	uncharacterized LOC105326431	2039
LOC105326432	NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial	11374
LOC105326457	uncharacterized LOC105326457	62
LOC105337119	uncharacterized LOC105337119	1
LOC105326433	homeobox protein Hox-A1	1230
LOC105326435	uncharacterized LOC105326435_ncRNA	26
LOC105326436	uncharacterized LOC105326436	128
LOC105326437	homeobox protein Hox-D3	52
LOC105326439	homeobox protein Hox-A5	1188
LOC105326440	homeobox protein Hox-C5a	140
LOC105320483	uncharacterized LOC105320483_ncRNA	27
LOC109619795	uncharacterized LOC109619795	2
LOC105340021	homeobox protein Hox-B7	1575
LOC105340020	uncharacterized LOC105340020_ncRNA	16
LOC105340019	uncharacterized LOC105340019_ncRNA	14
LOC117691994	uncharacterized LOC117691994_ncRNA	188
LOC105340018	homeobox protein Hox-A7	1196
LOC117692288	uncharacterized LOC117692288_ncRNA	898
LOC105347997	uncharacterized LOC105347997_ncRNA	0
LOC105347995	homeobox protein Hox-B6a	16
LOC105347993	uncharacterized LOC105347993_ncRNA	0
LOC117683895	uncharacterized LOC117683895_ncRNA	20
LOC117687083	uncharacterized LOC117687083_ncRNA	1
LOC105331616	uncharacterized LOC105331616	10
LOC105347990	uncharacterized LOC105347990_ncRNA	0
LOC109621168	uncharacterized LOC109621168_ncRNA	0
LOC117680311	homeobox protein abdominal-B-like	256
LOC105323257	homeobox protein abdominal-B	2055
LOC105323256	homeobox protein Hox-A9	10
LOC105323255	coatomer subunit zeta-1	15456
LOC105323254	SWI/SNF complex subunit SMARCC2	17131
LOC105323253	FMRFamide receptor	110
LOC109618019	glucoside xylosyltransferase 2-like	29
LOC105323251	thioredoxin domain-containing protein 17	4844
LOC105323250	uncharacterized LOC105323250	613
LOC117680481	uncharacterized LOC117680481	5153
LOC105323249	uncharacterized LOC105323249	72
LOC105323248	transmembrane protein 18	7970
LOC105323247	gamma-tubulin complex component 6	1313
LOC105323246	glycine-rich protein 23-like	73
LOC109618020	uncharacterized LOC109618020_ncRNA	22
LOC105323245	mucin-22-like	83
LOC105323244	uncharacterized LOC105323244	279
LOC109619489	uncharacterized LOC109619489	706
LOC105323243	nascent polypeptide-associated complex subunit alpha, muscle-specific form	31
LOC105323242	UPF0748 protein YngK	120
LOC105323241	uncharacterized LOC105323241	41
LOC105323240	uncharacterized LOC105323240	10
LOC105323239	uncharacterized LOC105323239_ncRNA	6
LOC117682288	probable L-cysteine desulfhydrase, chloroplastic	196
LOC105323290	putative L-cysteine desulfhydrase 1	28
LOC105323235	hercynylcysteine sulfoxide lyase	40
LOC105323233	uncharacterized LOC105323233	1901
LOC105323234	uncharacterized LOC105323234	2564
LOC105323232	NADH-cytochrome b5 reductase 3	7336
LOC105323229	tumor protein p53-inducible protein 11	992
LOC117682364	uncharacterized LOC117682364_ncRNA	10
LOC105323227	DNA ligase 1	5634
LOC105323226	FK506-binding protein 2	4836
LOC105323225	uncharacterized LOC105323225	3578
LOC105323223	uncharacterized LOC105323223	2169
LOC117682404	uncharacterized LOC117682404_ncRNA	1
LOC117682392	uncharacterized LOC117682392	0
LOC117682405	DNA endonuclease RBBP8-like	1453
LOC105323221	dual specificity tyrosine-phosphorylation-regulated kinase 4	1324
LOC105323220	cAMP-regulated phosphoprotein 21	6693
LOC105323219	coatomer subunit alpha	9098
LOC105323217	vacuolar protein sorting-associated protein 13B	4264
LOC105323216	glutamate receptor ionotropic, kainate 3	205
LOC105323215	glutamate receptor ionotropic, kainate 3	29
LOC117682470	uncharacterized LOC117682470_ncRNA	4
LOC117682472	uncharacterized LOC117682472_ncRNA	619
LOC117682469	uncharacterized LOC117682469	33
LOC105323214	potassium voltage-gated channel protein Shaw	115
LOC105323213	glutathione hydrolase 1 proenzyme	43
LOC105323212	peroxisome proliferator-activated receptor delta	2
LOC109617943	uncharacterized LOC109617943	1
LOC105335743	uncharacterized LOC105335743	267
LOC117684829	uncharacterized LOC117684829	40
LOC117687183	uncharacterized LOC117687183	12
LOC109620475	uncharacterized LOC109620475	17
LOC109620474	uncharacterized LOC109620474	5
LOC105342485	uncharacterized LOC105342485	33
LOC105345080	uncharacterized LOC105345080	50
LOC105342484	uncharacterized LOC105342484	462
LOC105342483	proline-rich transmembrane protein 1-like	4
LOC105342481	proline-rich transmembrane protein 1-like	3
LOC117684855	synapse differentiation-inducing gene protein 1-like	23
LOC117684858	uncharacterized LOC117684858_ncRNA	75
LOC105322226	uncharacterized LOC105322226	1149
LOC105345571	transmembrane protein 91	5
LOC105319020	uncharacterized LOC105319020	495
LOC117680370	proline-rich transmembrane protein 1-like	11373
LOC105319012	A disintegrin and metalloproteinase with thrombospondin motifs 16-like	1795
LOC105319272	A disintegrin and metalloproteinase with thrombospondin motifs 16-like	15
LOC105319006	uncharacterized LOC105319006	2590
LOC105318987	prolyl 4-hydroxylase 1	240
LOC105318976	bifunctional arginine demethylase and lysyl-hydroxylase JMJD6-like	3963
LOC105318939	ankyrin repeat and SOCS box protein 2	1923
LOC105318930	pseudouridine-metabolizing bifunctional protein C1861.05	399
LOC105318923	hypothetical protein	13742
LOC105319267	F-box only protein 10	1258
LOC105318875	potassium channel subfamily T member 2	5255
LOC105318868	uncharacterized LOC105318868	37
LOC105318860	ras-related protein Rab-20-like	2167
LOC105318849	acetylcholinesterase-like	20
LOC105318841	deleted in malignant brain tumors 1 protein-like	94
LOC105318825	serine/arginine repetitive matrix protein 1	1147
LOC109617424	uncharacterized LOC109617424	4
LOC117684897	uncharacterized LOC117684897	8
LOC109620184	uncharacterized LOC109620184_ncRNA	0
LOC109618744	P2X purinoceptor 7	20
LOC105346926	uncharacterized LOC105346926	1
LOC117684907	uncharacterized LOC117684907	0
LOC117684908	uncharacterized LOC117684908	0
LOC117687192	uncharacterized LOC117687192	0
LOC105342026	cytosolic non-specific dipeptidase	6475
LOC117690252	uncharacterized LOC117690252	19
LOC105342027	cytosolic non-specific dipeptidase-like	2807
LOC109620420	sodium/potassium/calcium exchanger 1-like	26
LOC105342022	calponin homology domain-containing protein DDB_G0272472	14093
LOC105342021	uncharacterized LOC105342021	397
LOC105342020	protein pitchfork	3151
LOC105342019	general transcription factor IIH subunit 1	1694
LOC105342018	MOXD1 homolog 1	150
LOC105342017	vesicular glutamate transporter 2	158
LOC105342016	NFX1-type zinc finger-containing protein 1	63
LOC105342014	GTPase HRas	15695
LOC105342013	zinc finger protein 675-like	7644
LOC105342012	uncharacterized LOC105342012	398
LOC105340508	protein mono-ADP-ribosyltransferase PARP12	11
LOC105340509	uncharacterized LOC105340509	54
LOC109620264	myoneurin	10285
LOC105340512	glyceraldehyde-3-phosphate dehydrogenase	16495
LOC105340513	caprin-1	14132
LOC105340515	uncharacterized LOC105340515	143
LOC117687203	glutamic acid-rich protein-like	10818
LOC105340516	serine/threonine-protein kinase BRSK2	200
LOC105340518	uncharacterized LOC105340518	3154
LOC105340523	ferredoxin-fold anticodon-binding domain-containing protein 1	383
LOC105340522	uncharacterized LOC105340522	1792
LOC105340521	protein SPT2 homolog	12835
LOC105340524	leucine-rich repeat-containing protein 72	1595
LOC105340525	uncharacterized LOC105340525	1742
LOC117691716	uncharacterized LOC117691716_ncRNA	126
LOC105340526	cytochrome P450 27C1	1342
LOC117680419	uncharacterized LOC117680419	618
LOC105340527	uncharacterized LOC105340527	934
LOC117692139	uncharacterized LOC117692139	0
LOC105331897	uncharacterized LOC105331897	0
LOC109617279	uncharacterized LOC109617279	7
LOC105317484	uncharacterized LOC105317484	9
LOC109617282	uncharacterized LOC109617282	45
LOC105317485	uncharacterized LOC105317485	142
LOC105317487	hemicentin-1	28
LOC105327170	coadhesin-like	0
LOC117692541	uncharacterized LOC117692541_ncRNA	1
LOC105317489	serine-rich adhesin for platelets	362
LOC105317491	uncharacterized LOC105317491	778
LOC105317492	KRR1 small subunit processome component homolog	11007
LOC105317493	prolyl 4-hydroxylase subunit alpha-1-like	17
LOC105317494	chitin synthase chs-2	9
LOC117692724	uncharacterized LOC117692724_ncRNA	0
LOC105317495	prolyl 4-hydroxylase subunit alpha-1	22
LOC105317496	MORN repeat-containing protein 2	3262
LOC105317497	dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial	4259
LOC105317498	uncharacterized LOC105317498	67
LOC105317501	transmembrane 7 superfamily member 3	308
LOC105317500	uridine 5'-monophosphate synthase	730
LOC105317502	DNA-directed RNA polymerase II subunit RPB4	13763
LOC105317504	uncharacterized LOC105317504	155
LOC105317526	uncharacterized LOC105317526	63
LOC109617655	uncharacterized LOC109617655_ncRNA	2
LOC105317505	uncharacterized LOC105317505	15073
LOC105317506	40S ribosomal protein S11	16269
LOC105317507	uncharacterized LOC105317507	2922
LOC105345332	heme transporter hrg1-A	3304
LOC105345358	transmembrane protein 245	5290
LOC105345333	phosphoacetylglucosamine mutase	2208
LOC105345334	uncharacterized LOC105345334	8
LOC105345335	uncharacterized LOC105345335_ncRNA	69
LOC105345336	26S proteasome non-ATPase regulatory subunit 9	2428
LOC105345337	membrane progestin receptor gamma-B	1179
LOC105329330	succinate dehydrogenase assembly factor 3, mitochondrial	3544
LOC109618879	sulfotransferase 1C4-like	99
LOC105329332	sulfotransferase family cytosolic 1B member 1	13
LOC105329329	uncharacterized LOC105329329	854
LOC117680771	uncharacterized LOC117680771_ncRNA	0
LOC105329328	uncharacterized LOC105329328	426
LOC105329326	uncharacterized LOC105329326	2151
LOC105329325	UHRF1-binding protein 1-like	1012
LOC105324474	protein trapped in endoderm-1	31
LOC105324473	N66 matrix protein	62
LOC105324472	tetraspanin-4	7319
LOC105339389	uncharacterized LOC105339389	12
LOC105339388	solute carrier organic anion transporter family member 4C1	727
LOC109617286	uncharacterized LOC109617286	16
LOC105317558	jmjC domain-containing protein E-like	207
LOC105317560	bifunctional peptidase and (3S)-lysyl hydroxylase JMJD7	1306
LOC105317561	uncharacterized LOC105317561	2419
LOC105317562	uncharacterized LOC105317562	120
LOC105317566	uncharacterized LOC105317566	122
LOC117681262	E3 ubiquitin-protein ligase TRIM71-like	3
LOC117687209	frizzled and smoothened-like protein O	0
LOC117687218	E3 ubiquitin-protein ligase TRIM71-like	0
LOC105331442	hemicentin-1	10
LOC105331435	homeobox protein 6	130
LOC105328178	titin	6
LOC105320451	putative uncharacterized transmembrane protein DDB_G0285049	9
LOC117687229	protein eyes shut homolog	0
LOC117687238	basement membrane-specific heparan sulfate proteoglycan core protein-like	2
LOC117692829	uncharacterized LOC117692829	124
LOC105344537	uncharacterized LOC105344537	1
LOC105341790	organic cation transporter protein	377
LOC105341780	protocadherin Fat 3	126
LOC105341764	glycoprotein 3-alpha-L-fucosyltransferase A-like	2715
LOC117692849	uncharacterized LOC117692849_ncRNA	0
LOC105341732	uncharacterized LOC105341732	11
LOC117692853	uncharacterized LOC117692853_ncRNA	44
LOC105341723	hairy/enhancer-of-split related with YRPW motif protein 1	614
LOC117692851	uncharacterized LOC117692851_ncRNA	348
LOC105341957	origin recognition complex subunit 4	186
LOC105317911	zinc transporter 1	5492
LOC105317914	oxysterol-binding protein-related protein 8	1179
LOC105318684	uncharacterized LOC105318684	0
LOC105317913	RNA polymerase-associated protein CTR9 homolog	6794
LOC109617331	uncharacterized LOC109617331	4
LOC105317915	uncharacterized LOC105317915	3951
LOC105317917	protocadherin Fat 4	809
LOC105319127	protocadherin alpha-6	85
LOC105319126	uncharacterized LOC105319126	29
LOC117692889	uncharacterized LOC117692889	79
LOC105319125	dynein assembly factor 1, axonemal	3887
LOC105319124	V-type proton ATPase subunit C 1	3793
LOC105319122	ephrin-B2	5795
LOC105319121	myotrophin homolog	10512
LOC105340437	acyl-CoA synthetase short-chain family member 3, mitochondrial	302
LOC105334741	uncharacterized LOC105334741_ncRNA	40
LOC105340438	isochorismatase domain-containing protein 2	668
LOC105340439	GDH/6PGL endoplasmic bifunctional protein	885
LOC117680600	fibrinogen gamma chain-like	22
LOC105331858	ficolin-1-A	57
LOC117687251	uncharacterized protein K02A2.6-like	0
LOC117692906	uncharacterized LOC117692906_ncRNA	4
LOC105331871	ficolin-1-A	205
LOC105331862	uncharacterized LOC105331862_ncRNA	110
LOC105331863	uncharacterized LOC105331863	44
LOC105331864	protein FAM124A	133
LOC105331865	putative ammonium transporter 1	69
LOC105331866	putative ammonium transporter 1	40
LOC117692910	uncharacterized LOC117692910	467
LOC105331867	putative ammonium transporter 1	506
LOC117692915	ammonium transporter 1 member 3-like	292
LOC105331868	putative ammonium transporter 1	177
LOC105331869	putative ammonium transporter 1	857
LOC105335381	uncharacterized LOC105335381	1605
LOC105335380	uncharacterized LOC105335380	26
LOC117692931	uncharacterized LOC117692931	57
LOC105321384	uncharacterized LOC105321384_ncRNA	32
LOC105320115	ADP-ribosylation factor-like protein 1	3732
LOC105320117	serine/arginine-rich splicing factor 6	18349
Trnag-gcc		0
LOC105325160	uncharacterized LOC105325160	5
LOC105325159	cysteine-rich motor neuron 1 protein-like	44
LOC105325157	CCN family member 3-like	5
LOC105325156	uncharacterized LOC105325156	1157
LOC105325155	transmembrane protein 101	3976
LOC105325152	calmodulin-like	1327
LOC105325151	calmodulin-beta-like	16
LOC105325150	uncharacterized LOC105325150	8
LOC105325149	protocadherin-16	25
LOC105325148	GTP-binding protein Rheb	11980
LOC105325147	peptidase inhibitor 15-like	7
LOC105325146	peptidase inhibitor R3HDML	20
LOC105325144	beta-1,3-galactosyltransferase 5	39
LOC105325143	cytochrome P450 3A24	14
LOC117692969	uncharacterized LOC117692969_ncRNA	298
LOC105325142	neuronal acetylcholine receptor subunit alpha-6	989
LOC105325141	uncharacterized LOC105325141	290
LOC105325140	myoneurin	2478
LOC105325138	fez family zinc finger protein erm	5927
LOC105325137	M-phase inducer phosphatase	24
LOC105325136	uncharacterized LOC105325136	90
LOC117693005	uncharacterized LOC117693005	94
LOC105346076	uncharacterized LOC105346076_ncRNA	0
LOC105346074	uncharacterized LOC105346074_ncRNA	0
LOC117693008	uncharacterized LOC117693008	0
LOC105346073	uncharacterized LOC105346073_ncRNA	64
LOC105346072	uncharacterized LOC105346072_ncRNA	0
LOC117693018	uncharacterized LOC117693018_ncRNA	0
LOC105348681	putative nuclease HARBI1	0
LOC105348677	probable G-protein coupled receptor 19	26
LOC105348676	uncharacterized LOC105348676	216
LOC105348673	cadherin-23	95
LOC105348672	uncharacterized LOC105348672	8
LOC105348670	uncharacterized LOC105348670_ncRNA	0
LOC117692561	ATP-dependent DNA helicase Q-like 2	57
LOC105345806	uncharacterized LOC105345806_ncRNA	0
LOC105348667	uncharacterized LOC105348667_ncRNA	0
LOC105348666	uncharacterized LOC105348666_ncRNA	24
LOC117692562	uncharacterized LOC117692562_ncRNA	7
LOC105348665	uncharacterized LOC105348665_ncRNA	0
LOC117692565	uncharacterized LOC117692565_ncRNA	0
LOC105348663	uncharacterized LOC105348663_ncRNA	2
LOC109617159	uncharacterized LOC109617159_ncRNA	54
LOC105348662	uncharacterized LOC105348662_ncRNA	0
LOC117692568	uncharacterized LOC117692568_ncRNA	97
LOC105348661	uncharacterized LOC105348661_ncRNA	2
LOC105348660	keratin-associated protein 21-2	96
LOC105348659	TNF receptor-associated factor 6	1769
LOC105348658	ubiquitin-conjugating enzyme E2 Z	1720
LOC105342443	ATP-dependent DNA helicase Q1-like	1624
LOC105342445	uncharacterized LOC105342445	636
LOC105342444	uncharacterized LOC105342444	454
LOC105342446	microtubule-associated proteins 1A/1B light chain 3A	2717
LOC105342447	ADP-ribosylation factor 6	14436
LOC105342449	neuronal acetylcholine receptor subunit alpha-2	113
LOC105342450	protein FAM199X	6330
LOC105342451	uncharacterized LOC105342451_ncRNA	150
LOC105342452	uncharacterized LOC105342452	10
LOC105342453	tetraspanin-1	27
LOC105342476	uncharacterized LOC105342476	26
LOC105342454	uncharacterized LOC105342454	6
LOC105342455	uncharacterized LOC105342455	54
LOC105342456	protein adenylyltransferase SelO, mitochondrial	1453
LOC117692619	uncharacterized LOC117692619_ncRNA	176
LOC117692626	uncharacterized LOC117692626_ncRNA	5
LOC117692614	uncharacterized LOC117692614	8
LOC117692616	uncharacterized LOC117692616	14
LOC105342457	arrestin domain-containing protein 5	1293
LOC105342458	uncharacterized LOC105342458	107
LOC105342459	zinc finger protein 385D	149
LOC105342461	calmodulin-regulated spectrin-associated protein 1	5329
LOC105342462	cartilage acidic protein 1	1233
LOC105342477	DNA repair and recombination protein RAD54-like	5275
LOC105342359	uncharacterized LOC105342359	2230
LOC105342463	clathrin light chain A	17985
LOC105342478	tubulin-specific chaperone cofactor E-like protein	1262
LOC105333454	U11/U12 small nuclear ribonucleoprotein 25 kDa protein	2588
LOC105333451	DNA-directed RNA polymerase III subunit RPC10	2662
LOC105333455	uncharacterized LOC105333455	262
LOC109619415	uncharacterized LOC109619415_ncRNA	15
LOC105333456	uncharacterized LOC105333456	2644
LOC105333492	ankyrin repeat-containing protein DDB_G0279043	57
