duckID	evalue	LOC
PGEN_.00g000770	6.32E-71	LOC105338783
PGEN_.00g000780	1.44E-21	LOC105343998
PGEN_.00g000790	3.75E-13	LOC105331760
PGEN_.00g000800	2.43E-17	LOC105345375
PGEN_.00g000820	8.06E-15	LOC105344536
PGEN_.00g000830	4.09E-12	LOC105334040
PGEN_.00g000850	0.52	LOC105320006
PGEN_.00g000860	2.71E-05	LOC117692956
PGEN_.00g000870	1.5	LOC105341561
PGEN_.00g000880	0.78	LOC109620442
PGEN_.00g000890	4.58E-152	LOC105332646
PGEN_.00g000900	9.50E-23	LOC105335255
PGEN_.00g000910	2.68E-09	LOC105335255
PGEN_.00g000920	3.56E-05	LOC105334578
PGEN_.00g000930	6.15E-07	LOC105328848
PGEN_.00g000940	1.16E-16	LOC105318703
PGEN_.00g000950	8.15E-27	LOC105328848
PGEN_.00g000960	5.06E-08	LOC105344820
PGEN_.00g000970	1.48E-22	LOC105341323
PGEN_.00g000980	1.00E-15	LOC105345470
PGEN_.00g000990	7.3	LOC117688891
PGEN_.00g001000	7.06E-38	LOC105331660
PGEN_.00g001010	2.06E-09	LOC105323834
PGEN_.00g001020	6.74E-08	LOC105335333
PGEN_.00g001030	3.34E-18	LOC105335251
PGEN_.00g001040	3.42E-09	LOC105335249
PGEN_.00g001050	0.001	LOC105326991
PGEN_.00g001080	3.19E-13	LOC105344039
PGEN_.00g001090	0.35	LOC105327226
PGEN_.00g001100	1.29E-07	LOC117682465
PGEN_.00g001110	5.40E-10	LOC117689069
PGEN_.00g001120	6.52E-114	LOC105339142
PGEN_.00g001130	1.36E-33	LOC105335523
PGEN_.00g001140	5.01E-34	LOC105327869
PGEN_.00g001150	3.05E-172	LOC105345794
PGEN_.00g001160	1.3	LOC105339681
PGEN_.00g001170	2.05E-14	LOC105325778
PGEN_.00g001180	4.26E-05	LOC105325777
PGEN_.00g001190	4.57E-10	LOC105340404
PGEN_.00g001200	4.44E-133	LOC109618360
PGEN_.00g001210	6.44E-09	LOC105329249
PGEN_.00g001220	4.6	LOC117690490
PGEN_.00g001230	0.18	LOC105317581
PGEN_.00g001240	1.4	LOC109617724
PGEN_.00g001250	0.72	LOC105320711
PGEN_.00g001260	4.69E-20	LOC105335540
PGEN_.00g001270	1.98E-11	LOC109618707
PGEN_.00g001280	0.011	LOC105344839
PGEN_.00g001290	0.46	LOC105340128
PGEN_.00g001300	1.2	LOC105344839
PGEN_.00g001310	1.67E-07	LOC105342231
PGEN_.00g001320	1.39E-05	LOC105339051
PGEN_.00g001330	1.28E-08	LOC105342231
PGEN_.00g001340	1.9	LOC105327468
PGEN_.00g001350	4.13E-129	LOC105342035
PGEN_.00g001360	0.46	LOC105319260
PGEN_.00g001370	8.45E-22	LOC105347460
PGEN_.00g001380	4.14E-25	LOC105347480
PGEN_.00g001390	5.60E-54	LOC117684452
PGEN_.00g001410	1.64E-37	LOC105331900
PGEN_.00g001420	4.59E-49	LOC105348532
PGEN_.00g001440	2.36E-76	LOC105321692
PGEN_.00g001450	1.08E-74	LOC105321692
PGEN_.00g001460	9.56E-121	LOC109618360
PGEN_.00g001470	1.46E-10	LOC105349184
PGEN_.00g001480	1.01E-84	LOC117688434
PGEN_.00g001490	0.19	LOC105326627
PGEN_.00g001500	2.35E-09	LOC105348566
PGEN_.00g001510	1.00E-28	LOC105318820
PGEN_.00g001520	5.07E-34	LOC117684911
PGEN_.00g001540	3.72E-08	LOC105346951
PGEN_.00g001550	7.55E-29	LOC105334302
PGEN_.00g001560	2.35E-28	LOC117691348
PGEN_.00g001580	7.93E-04	LOC117686555
PGEN_.00g001590	1.21E-07	LOC105346951
PGEN_.00g001600	2.02E-15	LOC117685966
PGEN_.00g001610	3.42E-13	LOC105346899
PGEN_.00g001620	9.85E-39	LOC105331900
PGEN_.00g001630	4.17E-08	LOC105346951
PGEN_.00g001640	2.71E-06	LOC105346951
PGEN_.00g001650	2.99E-11	LOC117686795
PGEN_.00g001660	2.26E-37	LOC105335578
PGEN_.00g001670	2.11E-12	LOC105327856
PGEN_.00g001690	2.17E-20	LOC105347469
PGEN_.00g001700	2.46E-30	LOC105334520
PGEN_.00g001710	8.22E-08	LOC105335360
PGEN_.00g001720	2.66E-15	LOC105336043
PGEN_.00g001730	1.22E-07	LOC105336040
PGEN_.00g001740	5.06E-12	LOC105336499
PGEN_.00g001750	5.20E-61	LOC105343681
PGEN_.00g001760	7.98E-37	LOC105343681
PGEN_.00g001770	0.038	LOC105343685
PGEN_.00g001780	1.84E-19	LOC105341233
PGEN_.00g001790	0.003	LOC105334102
PGEN_.00g001800	4.76E-07	LOC105334102
PGEN_.00g001810	7	LOC105344173
PGEN_.00g001820	1.52E-95	LOC105327856
PGEN_.00g001830	7.2	LOC105339175
PGEN_.00g001840	2.6	LOC105336862
PGEN_.00g001850	3.3	LOC105319459
PGEN_.00g001860	2.01E-21	LOC105348681
PGEN_.00g001870	5.20E-08	LOC105329107
PGEN_.00g001880	1.88E-18	LOC105325117
PGEN_.00g001890	5.80E-13	LOC105325117
PGEN_.00g001900	8.84E-13	LOC105341234
PGEN_.00g001910	2.36E-04	LOC105341257
PGEN_.00g001920	2.46E-23	LOC105341234
PGEN_.00g001930	2.53E-33	LOC117683121
PGEN_.00g001940	6.35E-26	LOC105318623
PGEN_.00g001950	2.40E-18	LOC105318623
PGEN_.00g001960	1.02E-19	LOC105318623
PGEN_.00g001970	0.41	LOC105330245
PGEN_.00g001990	2.93E-24	LOC105336635
PGEN_.00g002000	6.2	LOC105344193
PGEN_.00g002010	1.00E-04	LOC117687548
PGEN_.00g002020	1.25E-15	LOC105337556
PGEN_.00g002030	6.34E-34	LOC117685225
PGEN_.00g002040	1.8	LOC105330303
PGEN_.00g002050	5.6	LOC105347679
PGEN_.00g002060	0.75	LOC105343515
PGEN_.00g002070	5.7	LOC105331207
PGEN_.00g002080	0.054	LOC105317973
PGEN_.00g002090	0.002	LOC109619288
PGEN_.00g002110	9.00E-06	LOC105348209
PGEN_.00g002120	6.59E-10	LOC105335282
PGEN_.00g002130	2.00E-19	LOC105325462
PGEN_.00g002140	6.45E-36	LOC105334787
PGEN_.00g002150	2.38E-76	LOC105328101
PGEN_.00g002160	5.29E-72	LOC105345825
PGEN_.00g002170	6.33E-66	LOC105345825
PGEN_.00g002180	1.74E-26	LOC105344805
PGEN_.00g002190	4.37E-29	LOC117685910
PGEN_.00g002200	4.61E-09	LOC105344805
PGEN_.00g002210	2.61E-10	LOC117681999
PGEN_.00g002220	9.34E-13	LOC105339906
PGEN_.00g002230	1.98E-10	LOC105325116
PGEN_.00g002240	0.013	LOC105321473
PGEN_.00g002250	6.53E-14	LOC117689152
PGEN_.00g002270	1.92E-28	LOC105339537
PGEN_.00g002280	0.003	LOC117680625
PGEN_.00g002290	1.25E-20	LOC117680536
PGEN_.00g002300	1.39E-20	LOC117680536
PGEN_.00g002330	2.4	LOC105344679
PGEN_.00g002340	3.84E-52	LOC109621152
PGEN_.00g002350	1.5	LOC105335137
PGEN_.00g002360	3.40E-32	LOC105336397
PGEN_.00g002370	2.94E-12	LOC105340993
PGEN_.00g002380	1.51E-26	LOC105339911
PGEN_.00g002390	1.7	LOC117680592
PGEN_.00g002400	8.74E-42	LOC117688434
PGEN_.00g002410	5.08E-55	LOC105346962
PGEN_.00g002420	1.46E-20	LOC105333670
PGEN_.00g002430	2.54E-22	LOC105333671
PGEN_.00g002440	1.14E-18	LOC105336400
PGEN_.00g002450	2.59E-22	LOC105343998
PGEN_.00g002460	1.25E-55	LOC117684452
PGEN_.00g002480	4.53E-55	LOC105318490
PGEN_.00g002490	3.20E-13	LOC105325876
PGEN_.00g002500	5.16E-12	LOC105336437
PGEN_.00g002510	0	LOC105330379
PGEN_.00g002520	3.71E-18	LOC105343142
PGEN_.00g002530	1.7	LOC105330795
PGEN_.00g002540	0.006	LOC105335233
PGEN_.00g002550	0.016	LOC105324611
PGEN_.00g002560	9.94E-149	LOC109618698
PGEN_.00g002570	1.71E-149	LOC109618698
PGEN_.00g002580	1.43E-30	LOC117692043
PGEN_.00g002590	4.73E-27	LOC117692043
PGEN_.00g002600	1.4	LOC105323137
PGEN_.00g002610	2.90E-61	LOC105348490
PGEN_.00g002620	2.45E-10	LOC117682350
PGEN_.00g002630	0.81	LOC105340448
PGEN_.00g002640	1.82E-14	LOC117692375
PGEN_.00g002650	1.08E-15	LOC105329459
PGEN_.00g002660	5.5	LOC105318946
PGEN_.00g002670	2.84E-22	LOC105333747
PGEN_.00g002680	2.18E-17	LOC105341299
PGEN_.00g002690	4.99E-06	LOC105341857
PGEN_.00g002700	1.47E-14	LOC105328341
PGEN_.00g002710	1.64E-14	LOC105335098
PGEN_.00g002720	1.94E-22	LOC105335097
PGEN_.00g002730	2.55E-27	LOC105325199
PGEN_.00g002740	2.57E-30	LOC109620312
PGEN_.00g002750	4.93E-13	LOC105345167
PGEN_.00g002760	7.99E-26	LOC105325121
PGEN_.00g002770	7.16E-45	LOC105319805
PGEN_.00g002780	4.4	LOC105319458
PGEN_.00g002790	6.04E-51	LOC117684943
PGEN_.00g002800	2.00E-06	LOC105340730
PGEN_.00g002810	2.17E-06	LOC105340730
PGEN_.00g002820	4.73E-04	LOC117683435
PGEN_.00g002830	2.35E-12	LOC105340730
PGEN_.00g002840	1.15E-20	LOC117689107
PGEN_.00g002850	9.47E-69	LOC105340727
PGEN_.00g002860	0.96	LOC105344364
PGEN_.00g002880	0.17	LOC117683769
PGEN_.00g002890	0.016	LOC105334281
PGEN_.00g002900	2	LOC105317284
PGEN_.00g002910	2.96E-04	LOC117684517
PGEN_.00g002920	0.098	LOC117684187
PGEN_.00g002930	4.68E-18	LOC105346465
PGEN_.00g002940	8.05E-70	LOC109618360
PGEN_.00g002950	1.24E-06	LOC105324168
PGEN_.00g002960	0.088	LOC117692933
PGEN_.00g002970	0.011	LOC105342260
PGEN_.00g002980	0.008	LOC105345521
PGEN_.00g002990	4.13E-18	LOC105326801
PGEN_.00g003000	0.18	LOC105343703
PGEN_.00g003010	1.04E-38	LOC105341084
PGEN_.00g003030	2.34E-26	LOC105341084
PGEN_.00g003040	3.37E-21	LOC105347294
PGEN_.00g003050	1.09E-18	LOC105334520
PGEN_.00g003060	1.53E-13	LOC105325364
PGEN_.00g003070	2.66E-07	LOC105344839
PGEN_.00g003090	2.25E-19	LOC105344839
PGEN_.00g003100	1.90E-06	LOC109620698
PGEN_.00g003110	5.17E-45	LOC105333708
PGEN_.00g003120	5.56E-18	LOC105321473
PGEN_.00g003130	1.39E-111	LOC105331535
PGEN_.00g003140	1.30E-20	LOC105331539
PGEN_.00g003150	7.01E-29	LOC105347283
PGEN_.00g003160	9.01E-24	LOC105347295
PGEN_.00g003170	1.57E-15	LOC105347284
PGEN_.00g003180	2.88E-15	LOC105334101
PGEN_.00g003190	5.49E-38	LOC105329677
PGEN_.00g003200	1.50E-23	LOC105331660
PGEN_.00g003210	9.27E-31	LOC105335524
PGEN_.00g003220	5.9	LOC117688452
PGEN_.00g003230	9.75E-67	LOC105324652
PGEN_.00g003240	4.38E-12	LOC105324651
PGEN_.00g003250	4.47E-51	LOC105320634
PGEN_.00g003260	6.10E-05	LOC117682310
PGEN_.00g003270	2.83E-15	LOC105327601
PGEN_.00g003280	2.04E-14	LOC105337936
PGEN_.00g003290	1.45E-04	LOC105324107
PGEN_.00g003300	4.37E-36	LOC105345643
PGEN_.00g003310	0.002	LOC105318714
PGEN_.00g003320	8	LOC105324547
PGEN_.00g003330	2.29E-05	LOC117685155
PGEN_.00g003340	1.46E-38	LOC105337582
PGEN_.00g003350	3.53E-07	LOC105328200
PGEN_.00g003360	1.75E-21	LOC105321603
PGEN_.00g003370	1.97E-35	LOC105321604
PGEN_.00g003380	2.39E-10	LOC105347437
PGEN_.00g003390	4.6	LOC105346258
PGEN_.00g003400	4.59E-37	LOC105347776
PGEN_.00g003420	4.95E-24	LOC105328731
PGEN_.00g003430	1.16E-18	LOC105324721
PGEN_.00g003440	3.02E-23	LOC105333995
PGEN_.00g003450	4.65E-25	LOC105321832
PGEN_.00g003460	7.03E-21	LOC105327709
PGEN_.00g003470	1.39E-18	LOC105327708
PGEN_.00g003480	6.95E-21	LOC105345189
PGEN_.00g003490	1.46E-65	LOC117684911
PGEN_.00g003500	7.89E-07	LOC105329692
PGEN_.00g003510	0.2	LOC105325893
PGEN_.00g003520	2.88E-07	LOC117684452
PGEN_.00g003540	1.2	LOC105318603
PGEN_.00g003550	4.4	LOC105325066
PGEN_.00g003560	1.9	LOC105339400
PGEN_.00g003570	9.78E-56	LOC105327579
PGEN_.00g003580	3.7	LOC105346281
PGEN_.00g003590	4.36E-11	LOC109618360
PGEN_.00g003600	8.51E-16	LOC117690833
PGEN_.00g003610	9.61E-29	LOC117693112
PGEN_.00g003620	1.03E-26	LOC105340567
PGEN_.00g003630	8.30E-21	Rps20
PGEN_.00g003640	1.45E-40	LOC105345421
PGEN_.00g003650	2.72E-117	LOC105325123
PGEN_.00g003660	1.21E-122	LOC105325123
PGEN_.00g003670	3.54E-17	LOC105340087
PGEN_.00g003680	3.29E-30	LOC105345463
PGEN_.00g003690	9.73E-90	LOC105318990
PGEN_.00g003700	7.68E-20	LOC105330382
PGEN_.00g003710	7.83E-13	LOC105336671
PGEN_.00g003720	3.41E-05	LOC105335111
PGEN_.00g003730	4.70E-10	LOC105333924
PGEN_.00g003740	2.19E-29	LOC117692403
PGEN_.00g003750	7.8	LOC117686330
PGEN_.00g003760	9.50E-54	LOC117692956
PGEN_.00g003770	4.9	LOC105329274
PGEN_.00g003780	0.19	LOC105324064
PGEN_.00g003790	6.38E-24	LOC117690888
PGEN_.00g003800	8.6	LOC117687411
PGEN_.00g003810	3.40E-07	LOC109618360
PGEN_.00g003820	4.84E-23	LOC117692456
PGEN_.00g003830	0.44	LOC105334479
PGEN_.00g003840	2.5	LOC105329799
PGEN_.00g003850	1.71E-130	LOC105324657
PGEN_.00g003860	5.87E-10	LOC105329078
PGEN_.00g003880	8.69E-79	LOC105337388
PGEN_.00g003890	3.72E-26	LOC105336061
PGEN_.00g003900	1.62E-17	LOC105321632
PGEN_.00g003910	1.15E-39	LOC109618722
PGEN_.00g003920	9.40E-31	LOC105317094
PGEN_.00g003930	5.56E-21	LOC105336644
PGEN_.00g003940	6.36E-26	LOC105336648
PGEN_.00g003950	1.52E-14	LOC105324065
PGEN_.00g003960	1.25E-138	LOC105326150
PGEN_.00g003970	1.36E-17	LOC117686595
PGEN_.00g003980	5.75E-37	LOC105326149
PGEN_.00g003990	1.89E-14	LOC105326146
PGEN_.00g004010	3.44E-26	LOC117684854
PGEN_.00g004020	3.26E-33	LOC105325417
PGEN_.00g004030	2.91E-112	LOC105330008
PGEN_.00g004040	1.52E-41	LOC105318508
PGEN_.00g004050	1.31E-06	LOC105327591
PGEN_.00g004060	1.27E-41	LOC117687000
PGEN_.00g004080	5.67E-16	LOC105327693
PGEN_.00g004090	2.36E-15	LOC105325329
PGEN_.00g004100	1.61E-18	LOC105345375
PGEN_.00g004110	2.53E-07	LOC105325329
PGEN_.00g004120	2.05E-36	LOC105343998
PGEN_.00g004130	5.59E-29	LOC105326093
PGEN_.00g004140	0.025	LOC105323071
PGEN_.00g004150	0.01	LOC105325790
PGEN_.00g004160	9.85E-23	LOC105325329
PGEN_.00g004170	3.73E-10	LOC105325299
PGEN_.00g004180	4.71E-27	LOC105340430
PGEN_.00g004190	3.41E-13	LOC105336053
PGEN_.00g004200	1.05E-11	LOC117684597
PGEN_.00g004210	5.73E-14	LOC117684788
PGEN_.00g004220	8.06E-26	LOC105348498
PGEN_.00g004230	3.36E-55	LOC105332175
PGEN_.00g004240	0.02	LOC105330343
PGEN_.00g004250	2.95E-09	LOC105334520
PGEN_.00g004260	4.12E-82	LOC105340093
PGEN_.00g004270	1.64E-05	LOC105343153
PGEN_.00g004280	2.16E-53	LOC105319123
PGEN_.00g004290	1.2	LOC105329027
PGEN_.00g004300	3.3	LOC105348639
PGEN_.00g004310	0.49	LOC105346105
PGEN_.00g004320	2.7	LOC105334261
PGEN_.00g004330	1.73E-23	LOC105336332
PGEN_.00g004340	4.98E-72	LOC105319123
PGEN_.00g004350	3.4	LOC117681524
PGEN_.00g004360	9	LOC117689010
PGEN_.00g004370	0.94	LOC117685925
PGEN_.00g004380	2.76E-29	LOC105328346
PGEN_.00g004390	7.66E-59	LOC105323132
PGEN_.00g004400	2.24E-40	LOC105323783
PGEN_.00g004410	1.3	LOC117687429
PGEN_.00g004420	1.41E-101	LOC105325083
PGEN_.00g004430	1.41E-09	LOC117681855
PGEN_.00g004440	8.56E-34	LOC105344747
PGEN_.00g004450	3.7	LOC105321427
PGEN_.00g004460	6.91E-16	LOC105321473
PGEN_.00g004470	0.04	LOC105336640
PGEN_.00g004480	1.16E-10	LOC105329277
PGEN_.00g004490	2.09E-13	LOC105329277
PGEN_.00g004500	0.51	LOC105322419
PGEN_.00g004510	6.08E-55	LOC117692956
PGEN_.00g004520	5.88E-43	LOC117684685
PGEN_.00g004530	5.47E-08	LOC105329277
PGEN_.00g004540	4.55E-10	LOC105323935
PGEN_.00g004550	2.03E-07	LOC117680987
PGEN_.00g004570	3.5	LOC109617126
PGEN_.00g004580	1.03E-55	LOC117689988
PGEN_.00g004590	0.32	LOC105320298
PGEN_.00g004600	0.035	LOC105333528
PGEN_.00g004610	2.06E-34	LOC117684911
PGEN_.00g004620	6.43E-95	LOC105337388
PGEN_.00g004630	4.8	LOC105340776
PGEN_.00g004640	0.31	LOC105335721
PGEN_.00g004650	0.37	LOC105326807
PGEN_.00g004660	8.20E-18	LOC105343557
PGEN_.00g004670	4.60E-16	LOC105344809
PGEN_.00g004680	4.11E-43	LOC117688434
PGEN_.00g004690	1.54E-133	LOC109618360
PGEN_.00g004700	0.66	LOC105320490
PGEN_.00g004710	8.12E-06	LOC117689328
PGEN_.00g004720	1.27E-14	LOC105327060
PGEN_.00g004730	2.17E-15	LOC117688116
PGEN_.00g004740	9.00E-38	LOC105338771
PGEN_.00g004750	4.8	LOC117687247
PGEN_.00g004760	1.52E-19	LOC117684502
PGEN_.00g004770	0.26	LOC105333014
PGEN_.00g004790	2.4	LOC105319247
PGEN_.00g004800	2.3	LOC105318653
PGEN_.00g004810	0.031	LOC105329040
PGEN_.00g004820	2.97E-04	LOC105341321
PGEN_.00g004830	1.60E-103	LOC117690146
PGEN_.00g004840	2.38E-125	LOC105330548
PGEN_.00g004850	3.83E-09	LOC105319149
PGEN_.00g004860	2.56E-60	LOC117684452
PGEN_.00g004870	3.28E-122	LOC105326795
PGEN_.00g004880	1.03E-26	LOC117689422
PGEN_.00g004890	1.20E-26	LOC117688058
PGEN_.00g004900	6.10E-27	LOC117682873
PGEN_.00g004910	2.41E-55	LOC117682873
PGEN_.00g004920	2.70E-53	LOC117689325
PGEN_.00g004930	4.87E-22	LOC117682873
PGEN_.00g004940	5.34E-11	LOC117686717
PGEN_.00g004950	1.48E-160	LOC117688427
PGEN_.00g004960	3.22E-56	LOC117682572
PGEN_.00g004970	5.7	LOC117689290
PGEN_.00g004980	1.07E-73	LOC105319807
PGEN_.00g004990	5.73E-50	LOC109617665
PGEN_.00g005000	3.47E-08	LOC109618897
PGEN_.00g005010	5.62E-08	LOC105324364
PGEN_.00g005020	9	LOC105333207
PGEN_.00g005030	8.19E-166	LOC105331668
PGEN_.00g005040	3.93E-05	LOC117692459
PGEN_.00g005050	0.12	LOC105346811
PGEN_.00g005060	0.009	LOC105340249
PGEN_.00g005070	2.62E-40	LOC105334520
PGEN_.00g005080	0.032	LOC105347948
PGEN_.00g005090	1.4	LOC105320377
PGEN_.00g005100	0.013	LOC105338655
PGEN_.00g005110	9.84E-167	LOC117683424
PGEN_.00g005120	7.75E-10	LOC105327068
PGEN_.00g005130	2.27E-39	LOC105341115
PGEN_.00g005140	3.87E-100	LOC105318033
PGEN_.00g005150	1.08E-38	LOC105335578
PGEN_.00g005160	2.47E-14	LOC105329277
PGEN_.00g005170	0.94	LOC105335671
PGEN_.00g005180	7.37E-16	LOC105329277
PGEN_.00g005190	4.67E-24	LOC117691890
PGEN_.00g005200	5.71E-10	LOC117685706
PGEN_.00g005220	3.2	LOC117685774
PGEN_.00g005230	7.45E-04	LOC105346082
PGEN_.00g005240	2.4	LOC105321996
PGEN_.00g005250	2.32E-05	LOC105340950
PGEN_.00g005260	5.53E-75	LOC117689952
PGEN_.00g005270	0.39	LOC117692028
PGEN_.00g005280	2.43E-06	LOC117682327
PGEN_.00g005300	1.43E-25	LOC117685042
PGEN_.00g005310	2.27E-41	LOC105345163
PGEN_.00g005320	0.006	LOC105338722
PGEN_.00g005330	4.25E-08	LOC117684237
PGEN_.00g005340	0.26	LOC105322385
PGEN_.00g005350	2.8	LOC105335334
PGEN_.00g005360	1.3	LOC105326949
PGEN_.00g005370	2.8	LOC105348171
PGEN_.00g005380	2.88E-41	LOC105324448
PGEN_.00g005390	4.6	LOC105322385
PGEN_.00g005400	1.54E-62	LOC117688434
PGEN_.00g005410	0.47	LOC117687248
PGEN_.00g005430	2.78E-04	LOC105330559
PGEN_.00g005440	3.03E-13	LOC105333360
PGEN_.00g005450	2.62E-05	LOC117681322
PGEN_.00g005460	0.02	LOC117681322
PGEN_.00g005470	4.7	LOC105335728
PGEN_.00g005480	1.13E-110	LOC117687417
PGEN_.00g005490	4.00E-27	LOC117688994
PGEN_.00g005500	0.26	LOC105321200
PGEN_.00g005510	0.058	LOC105348277
PGEN_.00g005520	3.4	LOC105319633
PGEN_.00g005530	1.75E-45	LOC117681429
PGEN_.00g005540	0.8	LOC105328721
PGEN_.00g005550	2.17E-21	LOC105341693
PGEN_.00g005560	1.23E-20	LOC105341693
PGEN_.00g005580	7.6	LOC105318631
PGEN_.00g005590	0.014	LOC105338755
PGEN_.00g005600	1.3	LOC105330403
PGEN_.00g005610	1.2	LOC105339511
PGEN_.00g005620	0.21	LOC105320559
PGEN_.00g005630	4.02E-11	LOC105323136
PGEN_.00g005640	0.048	LOC117682362
PGEN_.00g005650	4.4	LOC105345996
PGEN_.00g005660	0	LOC105323136
PGEN_.00g005670	3.46E-34	LOC105323136
PGEN_.00g005680	6.54E-09	LOC105345797
PGEN_.00g005690	2.48E-72	LOC117680646
PGEN_.00g005700	1.30E-64	LOC109618360
PGEN_.00g005710	5	LOC105346970
PGEN_.00g005720	4.24E-06	LOC117684911
PGEN_.00g005730	1.40E-07	LOC117684911
PGEN_.00g005740	1.38E-43	LOC105328715
PGEN_.00g005750	4.03E-23	LOC117692032
PGEN_.00g005760	0.062	LOC117683828
PGEN_.00g005770	9.32E-26	LOC117692380
PGEN_.00g005780	0.021	LOC105327973
PGEN_.00g005800	1.42E-10	LOC105334632
PGEN_.00g005810	0.034	LOC117686615
PGEN_.00g005820	7.6	LOC105322519
PGEN_.00g005830	1.21E-32	LOC117689813
PGEN_.00g005840	1.06E-27	LOC117689743
PGEN_.00g005850	3.1	LOC117688045
PGEN_.00g005860	4	LOC105339109
PGEN_.00g005880	0.003	LOC105318603
PGEN_.00g005890	1.1	LOC105339641
PGEN_.00g005900	0.93	LOC105319372
PGEN_.00g005910	1.30E-07	LOC105331660
PGEN_.00g005920	2.25E-06	LOC105326795
PGEN_.00g005930	5.93E-05	LOC105345273
PGEN_.00g005940	0.63	LOC105329991
PGEN_.00g005950	8.9	LOC105341587
PGEN_.00g005960	2.20E-11	LOC109618360
PGEN_.00g005970	0.003	LOC105327241
PGEN_.00g005980	1.8	LOC105347948
PGEN_.00g005990	1.74E-18	LOC105329264
PGEN_.00g006010	4.39E-44	LOC105343659
PGEN_.00g006020	8.8	LOC105326741
PGEN_.00g006030	2.88E-12	LOC105322541
PGEN_.00g006040	9.1	LOC105335580
PGEN_.00g006050	5.27E-15	LOC117689813
PGEN_.00g006060	0.002	LOC117689255
PGEN_.00g006070	6.1	Tyr
PGEN_.00g006080	4.27E-12	LOC105319123
PGEN_.00g006090	3.26E-32	LOC117689141
PGEN_.00g006100	1.11E-121	LOC109618848
PGEN_.00g006110	0.002	LOC105325136
PGEN_.00g006120	4.41E-09	LOC117684452
PGEN_.00g006130	1.04E-38	LOC105340000
